SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
05:13:18 PM,6.4289,0.0000,3.1518,0.0
05:13:19 PM,6.4197,0.0018,0.0000,1.0
05:13:20 PM,6.4066,0.0036,6.4800,2.0
05:13:21 PM,6.4210,0.0053,6.4800,3.0
05:13:22 PM,6.4212,0.0071,6.3766,4.0
05:13:23 PM,6.4167,0.0089,6.3900,5.0
05:13:24 PM,6.3951,0.0107,6.4080,6.0
05:13:25 PM,6.4326,0.0125,6.4284,7.0
05:13:26 PM,6.4078,0.0143,6.4357,8.0
05:13:27 PM,6.4853,0.0160,6.4350,9.0
05:13:28 PM,7.1559,0.0178,6.4000,10.0
05:13:29 PM,6.8692,0.0198,6.4130,11.0
05:13:30 PM,6.3678,0.0217,6.4800,12.0
05:13:31 PM,6.5717,0.0235,6.5142,13.0
05:13:32 PM,6.5993,0.0253,6.5077,14.0
05:13:33 PM,6.5997,0.0272,6.5093,15.0
05:13:34 PM,6.5799,0.0290,6.5280,16.0
05:13:35 PM,6.5872,0.0308,6.5282,17.0
05:13:36 PM,6.5993,0.0327,6.5224,18.0
05:13:37 PM,6.5792,0.0345,6.5400,19.0
05:13:38 PM,6.6093,0.0363,6.5368,20.0
05:13:39 PM,6.5714,0.0382,6.5340,21.0
05:13:40 PM,6.5903,0.0400,6.5486,22.0
05:13:41 PM,6.5695,0.0418,6.5455,23.0
05:13:42 PM,5.5361,0.0436,6.5448,24.0
05:13:43 PM,5.7561,0.0452,6.5421,25.0
05:13:44 PM,5.7860,0.0468,6.5088,26.0
05:13:45 PM,6.0968,0.0484,6.4819,27.0
05:13:46 PM,6.4759,0.0501,6.4552,28.0
05:13:47 PM,6.3808,0.0519,6.4414,29.0
05:13:48 PM,6.3525,0.0536,6.4428,30.0
05:13:49 PM,6.3958,0.0554,6.4320,31.0
05:13:50 PM,6.3682,0.0572,6.4352,32.0
05:13:51 PM,6.3647,0.0590,6.4366,33.0
05:13:52 PM,6.3401,0.0607,6.4364,34.0
05:13:53 PM,6.3754,0.0625,6.4271,35.0
05:13:54 PM,6.3783,0.0643,6.4300,36.0
05:13:55 PM,6.3659,0.0660,6.4300,37.0
05:13:56 PM,6.3351,0.0678,6.4216,38.0
05:13:57 PM,6.3687,0.0696,6.4232,39.0
05:13:58 PM,6.3829,0.0713,6.4246,40.0
05:13:59 PM,6.3898,0.0731,6.4170,41.0
05:14:00 PM,6.4795,0.0749,6.4185,42.0
05:14:01 PM,6.5989,0.0767,6.4200,43.0
05:14:02 PM,6.6592,0.0785,6.4214,44.0
05:14:03 PM,6.5719,0.0804,6.4239,45.0
05:14:04 PM,6.6063,0.0822,6.4320,46.0
05:14:05 PM,6.5918,0.0840,6.4330,47.0
05:14:06 PM,6.5534,0.0858,6.4330,48.0
05:14:07 PM,6.5647,0.0877,6.4350,49.0
05:14:08 PM,6.5222,0.0895,6.4433,50.0
05:14:09 PM,6.5468,0.0913,6.4440,51.0
05:14:10 PM,6.5025,0.0931,6.4447,52.0
05:14:11 PM,6.5482,0.0949,6.4454,53.0
05:14:12 PM,6.4928,0.0967,6.4460,54.0
05:14:13 PM,6.5112,0.0985,6.4467,55.0
05:14:14 PM,6.5068,0.1004,6.4482,56.0
05:14:15 PM,6.4807,0.1022,6.4543,57.0
05:14:16 PM,6.5097,0.1039,6.4547,58.0
05:14:17 PM,6.4971,0.1058,6.4498,59.0
05:14:18 PM,6.4391,0.1076,6.4556,60.0
05:14:19 PM,6.0631,0.1094,6.4560,61.0
05:14:20 PM,6.1570,0.1110,6.4564,62.0
05:14:21 PM,6.1375,0.1128,6.4452,63.0
05:14:22 PM,6.1728,0.1145,6.4457,64.0
05:14:23 PM,6.1483,0.1162,6.4406,65.0
05:14:24 PM,6.2045,0.1179,6.4365,66.0
05:14:25 PM,6.1693,0.1196,6.4317,67.0
05:14:26 PM,6.1771,0.1213,6.4270,68.0
05:14:27 PM,6.1699,0.1230,6.4218,69.0
05:14:28 PM,6.1530,0.1247,6.4174,70.0
05:14:29 PM,6.2209,0.1265,6.4139,71.0
05:14:30 PM,6.2580,0.1282,6.4141,72.0
05:14:31 PM,6.2762,0.1299,6.4100,73.0
05:14:32 PM,6.3514,0.1317,6.4060,74.0
05:14:33 PM,6.3558,0.1334,6.4070,75.0
05:14:34 PM,6.3652,0.1352,6.4039,76.0
05:14:35 PM,6.3666,0.1370,6.4042,77.0
05:14:36 PM,6.3446,0.1387,6.4052,78.0
05:14:37 PM,6.3821,0.1405,6.4022,79.0
05:14:38 PM,6.3543,0.1423,6.4025,80.0
05:14:39 PM,6.3537,0.1440,6.4035,81.0
