SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
09:11:20 PM,6.0596,0.0000,3.3538,0.0
09:11:21 PM,6.1119,0.0017,0.0000,1.0
09:11:22 PM,6.1046,0.0034,6.0726,2.0
09:11:23 PM,6.0682,0.0051,6.1200,3.0
09:11:24 PM,6.3064,0.0068,6.1200,4.0
09:11:25 PM,6.4562,0.0085,6.1200,5.0
09:11:26 PM,6.6014,0.0102,6.1200,6.0
09:11:27 PM,6.5342,0.0120,6.1200,7.0
09:11:28 PM,6.4616,0.0138,6.1714,8.0
09:11:29 PM,6.3992,0.0156,6.2161,9.0
09:11:30 PM,6.3034,0.0174,6.2454,10.0
09:11:31 PM,6.3261,0.0192,6.2689,11.0
09:11:32 PM,6.3670,0.0210,6.2836,12.0
09:11:33 PM,6.3831,0.0227,6.3041,13.0
09:11:34 PM,6.4127,0.0245,6.2862,14.0
09:11:35 PM,6.3955,0.0263,6.3000,15.0
09:11:36 PM,6.4062,0.0281,6.3153,16.0
09:11:37 PM,6.3937,0.0298,6.3225,17.0
09:11:38 PM,6.4203,0.0316,6.3135,18.0
09:11:39 PM,6.4282,0.0334,6.3200,19.0
09:11:40 PM,6.4002,0.0352,6.3284,20.0
09:11:41 PM,6.4003,0.0369,6.3360,21.0
09:11:42 PM,6.3742,0.0387,6.3281,22.0
09:11:43 PM,6.4225,0.0405,6.3327,23.0
09:11:44 PM,6.3766,0.0423,6.3413,24.0
09:11:45 PM,6.4080,0.0440,6.3471,25.0
09:11:46 PM,6.4015,0.0458,6.3380,26.0
09:11:47 PM,6.4138,0.0476,6.3434,27.0
09:11:48 PM,6.3826,0.0494,6.3467,28.0
09:11:49 PM,6.3921,0.0512,6.3532,29.0
09:11:50 PM,6.3857,0.0529,6.3559,30.0
09:11:51 PM,6.3910,0.0547,6.3497,31.0
09:11:52 PM,6.4177,0.0565,6.3539,32.0
09:11:53 PM,6.3945,0.0583,6.3562,33.0
09:11:54 PM,6.4150,0.0601,6.3615,34.0
09:11:55 PM,6.4012,0.0618,6.3635,35.0
09:11:56 PM,6.4192,0.0636,6.3580,36.0
09:11:57 PM,6.4135,0.0654,6.3600,37.0
09:11:58 PM,6.4039,0.0672,6.3646,38.0
09:11:59 PM,6.3964,0.0689,6.3663,39.0
09:12:00 PM,6.4064,0.0707,6.3613,40.0
09:12:01 PM,6.4187,0.0725,6.3630,41.0
09:12:02 PM,6.3781,0.0743,6.3671,42.0
09:12:03 PM,6.4031,0.0761,6.3686,43.0
09:12:04 PM,6.4179,0.0778,6.3723,44.0
09:12:05 PM,6.4162,0.0796,6.3655,45.0
09:12:06 PM,6.3920,0.0814,6.3691,46.0
09:12:07 PM,6.4153,0.0832,6.3704,47.0
09:12:08 PM,6.3963,0.0850,6.3738,48.0
09:12:09 PM,6.4035,0.0867,6.3750,49.0
09:12:10 PM,6.3935,0.0885,6.3708,50.0
09:12:11 PM,6.4014,0.0903,6.3720,51.0
09:12:12 PM,6.3813,0.0921,6.3751,52.0
09:12:13 PM,6.4060,0.0939,6.3762,53.0
09:12:14 PM,6.4334,0.0956,6.3781,54.0
09:12:15 PM,6.4440,0.0974,6.3743,55.0
09:12:16 PM,6.4299,0.0992,6.3753,56.0
09:12:17 PM,6.4082,0.1010,6.3771,57.0
09:12:18 PM,6.3813,0.1028,6.3781,58.0
09:12:19 PM,6.3975,0.1046,6.3815,59.0
09:12:20 PM,6.3604,0.1063,6.3824,60.0
09:12:21 PM,6.3842,0.1081,6.3780,61.0
09:12:22 PM,6.3772,0.1099,6.3789,62.0
09:12:23 PM,6.3627,0.1116,6.3805,63.0
09:12:24 PM,6.3684,0.1134,6.3771,64.0
09:12:25 PM,6.3534,0.1152,6.3788,65.0
09:12:26 PM,6.3359,0.1169,6.3811,66.0
09:12:27 PM,6.3406,0.1187,6.3771,67.0
09:12:28 PM,6.3481,0.1205,6.3787,68.0
09:12:29 PM,6.3312,0.1222,6.3794,69.0
09:12:30 PM,6.3523,0.1240,6.3757,70.0
09:12:31 PM,6.3206,0.1257,6.3771,71.0
09:12:32 PM,6.3254,0.1275,6.3742,72.0
09:12:33 PM,6.3142,0.1293,6.3757,73.0
09:12:34 PM,6.3189,0.1310,6.3764,74.0
09:12:35 PM,6.3400,0.1328,6.3730,75.0
09:12:36 PM,6.3151,0.1345,6.3751,76.0
09:12:37 PM,6.3274,0.1363,6.3711,77.0
09:12:38 PM,6.3208,0.1380,6.3725,78.0
09:12:39 PM,6.3405,0.1398,6.3699,79.0
09:12:40 PM,6.3260,0.1416,6.3706,80.0
09:12:41 PM,6.3342,0.1433,6.3720,81.0
09:12:42 PM,6.3179,0.1451,6.3695,82.0
09:12:43 PM,6.3132,0.1468,6.3708,83.0
09:12:44 PM,6.3573,0.1486,6.3672,84.0
09:12:45 PM,6.3255,0.1504,6.3680,85.0
09:12:46 PM,6.3252,0.1521,6.3699,86.0
09:12:47 PM,6.2523,0.1539,6.3670,87.0
09:12:48 PM,6.1388,0.1556,6.3683,88.0
09:12:49 PM,6.1594,0.1574,6.3660,89.0
09:12:50 PM,6.1729,0.1591,6.3673,90.0
09:12:51 PM,6.1912,0.1608,6.3646,91.0
09:12:52 PM,6.1777,0.1625,6.3613,92.0
09:12:53 PM,6.1855,0.1642,6.3592,93.0
09:12:54 PM,6.1865,0.1659,6.3567,94.0
09:12:55 PM,6.1863,0.1677,6.3536,95.0
09:12:56 PM,6.1732,0.1694,6.3549,96.0
09:12:57 PM,6.1892,0.1711,6.3525,97.0
09:12:58 PM,6.1798,0.1728,6.3506,98.0
09:12:59 PM,6.1894,0.1745,6.3483,99.0
09:13:00 PM,6.1806,0.1762,6.3455,100.0
09:13:01 PM,6.1845,0.1780,6.3432,101.0
09:13:02 PM,6.1896,0.1797,6.3450,102.0
09:13:03 PM,6.1971,0.1814,6.3428,103.0
09:13:04 PM,6.2027,0.1831,6.3407,104.0
09:13:05 PM,6.1623,0.1848,6.3381,105.0
09:13:06 PM,6.1897,0.1866,6.3365,106.0
09:13:07 PM,6.1810,0.1883,6.3369,107.0
09:13:08 PM,6.1827,0.1900,6.3353,108.0
09:13:09 PM,6.1490,0.1917,6.3333,109.0
09:13:10 PM,6.1998,0.1934,6.3314,110.0
09:13:11 PM,6.1801,0.1951,6.3299,111.0
09:13:12 PM,6.1764,0.1968,6.3276,112.0
09:13:13 PM,6.1555,0.1986,6.3262,113.0
09:13:14 PM,6.1246,0.2003,6.3271,114.0
09:13:15 PM,6.0963,0.2020,6.3253,115.0
