SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
06:19:12 PM,6.2130,0.0000,3.2381,0.0
06:19:13 PM,6.1939,0.0017,0.0000,1.0
06:19:14 PM,6.1810,0.0034,6.1200,2.0
06:19:15 PM,6.1730,0.0052,6.1200,3.0
06:19:16 PM,6.2286,0.0052,6.2400,3.0
06:19:17 PM,6.1614,0.0086,6.2400,5.0
06:19:18 PM,6.1937,0.0086,6.1920,5.0
06:19:19 PM,6.1795,0.0120,6.1920,7.0
06:19:20 PM,6.1803,0.0120,6.1714,7.0
06:19:21 PM,6.1965,0.0155,6.1714,9.0
06:19:22 PM,6.1801,0.0172,6.2000,10.0
06:19:23 PM,6.1816,0.0189,6.1920,11.0
06:19:24 PM,6.1622,0.0189,6.1811,11.0
06:19:25 PM,6.2126,0.0224,6.1811,13.0
06:19:26 PM,6.2952,0.0224,6.1994,13.0
06:19:27 PM,6.2914,0.0258,6.1994,15.0
06:19:28 PM,6.2556,0.0258,6.1920,15.0
06:19:29 PM,6.2937,0.0293,6.1920,17.0
06:19:30 PM,6.3011,0.0293,6.2047,17.0
06:19:31 PM,6.3202,0.0328,6.2047,19.0
06:19:32 PM,6.2765,0.0328,6.2147,19.0
06:19:33 PM,6.2633,0.0363,6.2147,21.0
06:19:34 PM,6.2837,0.0363,6.2229,21.0
06:19:35 PM,6.2562,0.0398,6.2229,23.0
06:19:36 PM,6.2752,0.0415,6.2296,24.0
06:19:37 PM,6.2777,0.0433,6.2270,25.0
06:19:38 PM,6.2616,0.0433,6.2333,25.0
06:19:39 PM,6.2384,0.0467,6.2333,27.0
06:19:40 PM,6.2487,0.0467,6.2267,27.0
06:19:41 PM,6.2432,0.0502,6.2267,29.0
06:19:42 PM,6.2388,0.0502,6.2317,29.0
06:19:43 PM,6.2341,0.0537,6.2317,31.0
06:19:44 PM,6.2571,0.0537,6.2361,31.0
06:19:45 PM,6.2340,0.0571,6.2361,33.0
06:19:46 PM,6.2269,0.0571,6.2306,33.0
06:19:47 PM,6.2036,0.0606,6.2306,35.0
06:19:48 PM,6.2356,0.0606,6.2331,35.0
06:19:49 PM,6.2660,0.0623,6.2331,36.0
06:19:50 PM,6.2481,0.0658,6.2300,38.0
06:19:51 PM,6.2071,0.0658,6.2337,38.0
06:19:52 PM,6.2172,0.0693,6.2337,40.0
06:19:53 PM,6.2354,0.0710,6.2370,41.0
06:19:54 PM,6.2315,0.0727,6.2341,42.0
06:19:55 PM,6.2125,0.0745,6.2326,43.0
06:19:56 PM,6.2303,0.0762,6.2372,44.0
06:19:57 PM,6.2196,0.0779,6.2345,45.0
06:19:58 PM,6.2328,0.0779,6.2331,45.0
06:19:59 PM,6.2366,0.0814,6.2331,47.0
06:20:00 PM,6.2451,0.0831,6.2349,48.0
06:20:01 PM,6.2427,0.0848,6.2325,49.0
06:20:02 PM,6.2192,0.0848,6.2302,49.0
06:20:03 PM,6.2266,0.0883,6.2302,51.0
06:20:04 PM,6.2140,0.0900,6.2329,52.0
06:20:05 PM,6.2362,0.0900,6.2298,52.0
06:20:06 PM,6.2319,0.0935,6.2298,54.0
06:20:07 PM,6.2038,0.0935,6.2333,54.0
06:20:08 PM,6.1668,0.0969,6.2333,56.0
06:20:09 PM,6.2000,0.0969,6.2293,56.0
06:20:10 PM,6.1858,0.1004,6.2293,58.0
06:20:11 PM,6.1904,0.1004,6.2317,58.0
06:20:12 PM,6.1743,0.1038,6.2317,60.0
06:20:13 PM,6.1758,0.1038,6.2280,60.0
06:20:14 PM,6.1903,0.1072,6.2280,62.0
06:20:15 PM,6.1796,0.1072,6.2245,62.0
06:20:16 PM,6.1996,0.1107,6.2245,64.0
06:20:17 PM,6.1970,0.1124,6.2269,65.0
06:20:18 PM,6.1952,0.1141,6.2252,66.0
06:20:19 PM,6.1858,0.1159,6.2236,67.0
06:20:20 PM,6.2280,0.1176,6.2275,68.0
06:20:21 PM,6.1989,0.1193,6.2259,69.0
06:20:22 PM,6.1792,0.1210,6.2243,70.0
06:20:23 PM,6.1692,0.1227,6.2229,71.0
06:20:24 PM,6.1847,0.1227,6.2214,71.0
