SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
02:53:51 PM,6.0941,0.0000,3.2947,0.0
02:53:52 PM,6.1217,0.0017,0.0000,1.0
02:53:53 PM,6.1516,0.0034,6.0260,2.0
02:53:54 PM,6.1132,0.0068,6.1200,4.0
02:53:55 PM,6.0948,0.0068,6.1200,4.0
02:53:56 PM,6.1264,0.0085,6.1200,5.0
02:53:57 PM,6.1580,0.0102,6.1200,6.0
02:53:58 PM,6.2023,0.0119,6.1121,7.0
02:53:59 PM,6.3130,0.0136,6.1132,8.0
02:54:00 PM,6.2872,0.0153,6.1140,9.0
02:54:01 PM,6.2643,0.0170,6.1147,10.0
02:54:02 PM,6.2731,0.0188,6.1200,11.0
02:54:03 PM,6.2884,0.0205,6.1484,12.0
02:54:04 PM,6.2907,0.0223,6.1460,13.0
02:54:05 PM,6.2563,0.0240,6.1754,14.0
02:54:06 PM,6.2889,0.0258,6.1680,15.0
02:54:07 PM,6.2650,0.0275,6.1920,16.0
02:54:08 PM,6.2882,0.0293,6.1875,17.0
02:54:09 PM,6.2622,0.0310,6.2019,18.0
02:54:10 PM,6.2606,0.0327,6.1973,19.0
02:54:11 PM,6.2788,0.0345,6.1958,20.0
02:54:12 PM,6.2650,0.0362,6.2076,21.0
02:54:13 PM,6.2788,0.0380,6.2034,22.0
02:54:14 PM,6.2635,0.0397,6.2182,23.0
02:54:15 PM,6.2782,0.0415,6.2139,24.0
02:54:16 PM,6.2705,0.0432,6.2230,25.0
02:54:17 PM,6.3274,0.0449,6.2189,26.0
02:54:18 PM,6.3150,0.0467,6.2169,27.0
02:54:19 PM,6.2695,0.0484,6.2249,28.0
02:54:20 PM,6.2724,0.0502,6.2229,29.0
02:54:21 PM,6.2446,0.0519,6.2317,30.0
02:54:22 PM,6.2493,0.0537,6.2280,31.0
02:54:23 PM,6.2662,0.0554,6.2346,32.0
02:54:24 PM,6.2197,0.0571,6.2310,33.0
02:54:25 PM,6.2076,0.0589,6.2276,34.0
02:54:26 PM,6.1949,0.0606,6.2365,35.0
02:54:27 PM,6.2139,0.0623,6.2318,36.0
02:54:28 PM,6.2068,0.0640,6.2287,37.0
02:54:29 PM,6.1820,0.0658,6.2270,38.0
02:54:30 PM,6.1796,0.0675,6.2324,39.0
02:54:31 PM,6.1828,0.0692,6.2295,40.0
02:54:32 PM,6.1795,0.0710,6.2280,41.0
02:54:33 PM,6.1843,0.0726,6.2318,42.0
02:54:34 PM,6.1854,0.0744,6.2229,43.0
02:54:35 PM,6.1992,0.0761,6.2288,44.0
02:54:36 PM,6.1909,0.0778,6.2253,45.0
02:54:37 PM,6.1901,0.0795,6.2240,46.0
02:54:38 PM,6.1828,0.0813,6.2217,47.0
02:54:39 PM,6.1920,0.0830,6.2262,48.0
02:54:40 PM,6.1585,0.0847,6.2250,49.0
02:54:41 PM,6.1991,0.0864,6.2219,50.0
02:54:42 PM,6.1719,0.0881,6.2208,51.0
02:54:43 PM,6.1995,0.0898,6.2188,52.0
02:54:44 PM,6.1779,0.0915,6.2169,53.0
02:54:45 PM,6.2147,0.0933,6.2151,54.0
02:54:46 PM,6.1582,0.0950,6.2200,55.0
02:54:47 PM,6.1893,0.0967,6.2191,56.0
02:54:48 PM,6.1860,0.0984,6.2164,57.0
02:54:49 PM,6.1641,0.1001,6.2130,58.0
02:54:50 PM,6.1638,0.1019,6.2131,59.0
02:54:51 PM,6.2090,0.1036,6.2160,60.0
02:54:52 PM,6.1849,0.1053,6.2152,61.0
02:54:53 PM,6.1559,0.1070,6.2144,62.0
02:54:54 PM,6.1858,0.1087,6.2121,63.0
02:54:55 PM,6.1897,0.1104,6.2114,64.0
02:54:56 PM,6.1757,0.1122,6.2092,65.0
02:54:57 PM,6.2121,0.1139,6.2142,66.0
02:54:58 PM,6.1860,0.1156,6.2120,67.0
02:54:59 PM,6.1966,0.1173,6.2113,68.0
02:55:00 PM,6.1880,0.1190,6.2093,69.0
02:55:01 PM,6.1897,0.1208,6.2087,70.0
02:55:02 PM,6.1850,0.1225,6.2119,71.0
02:55:03 PM,6.1748,0.1242,6.2120,72.0
02:55:04 PM,6.1951,0.1259,6.2093,73.0
02:55:05 PM,6.1828,0.1276,6.2074,74.0
02:55:06 PM,6.1766,0.1293,6.2069,75.0
02:55:07 PM,6.1749,0.1311,6.2070,76.0
02:55:08 PM,6.1695,0.1328,6.2100,77.0
02:55:09 PM,6.2288,0.1345,6.2088,78.0
02:55:10 PM,6.1924,0.1362,6.2071,79.0
02:55:11 PM,6.1973,0.1379,6.2066,80.0
02:55:12 PM,6.2005,0.1397,6.2055,81.0
02:55:13 PM,6.1824,0.1414,6.2083,82.0
02:55:14 PM,6.2244,0.1431,6.2078,83.0
02:55:15 PM,6.1782,0.1448,6.2062,84.0
02:55:16 PM,6.2001,0.1465,6.2057,85.0
02:55:17 PM,6.1872,0.1483,6.2047,86.0
02:55:18 PM,6.1837,0.1500,6.2073,87.0
