SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
07:26:06 PM,6.3990,0.0000,3.2641,0.0
07:26:07 PM,6.4404,0.0018,0.0000,1.0
07:26:08 PM,6.3977,0.0053,6.5827,3.0
07:26:09 PM,6.4054,0.0053,6.3766,3.0
07:26:10 PM,6.3856,0.0071,6.3766,4.0
07:26:11 PM,6.4082,0.0089,6.4025,5.0
07:26:12 PM,6.3992,0.0106,6.4180,6.0
07:26:13 PM,6.4285,0.0124,6.3766,7.0
07:26:14 PM,6.3881,0.0142,6.3914,8.0
07:26:15 PM,6.4140,0.0160,6.4025,9.0
07:26:16 PM,6.3830,0.0178,6.4056,10.0
07:26:17 PM,6.3754,0.0195,6.4180,11.0
07:26:18 PM,6.4102,0.0213,6.3909,12.0
07:26:19 PM,6.3842,0.0231,6.3942,13.0
07:26:20 PM,6.3940,0.0249,6.4008,14.0
07:26:21 PM,6.3932,0.0266,6.4064,15.0
07:26:22 PM,6.3976,0.0284,6.3906,16.0
07:26:23 PM,6.3858,0.0302,6.3962,17.0
07:26:24 PM,6.3008,0.0320,6.3982,18.0
07:26:25 PM,6.3154,0.0338,6.4028,19.0
07:26:26 PM,6.3505,0.0355,6.4068,20.0
07:26:27 PM,6.3552,0.0373,6.3950,21.0
07:26:28 PM,6.2984,0.0390,6.3967,22.0
07:26:29 PM,6.2893,0.0408,6.3818,23.0
07:26:30 PM,6.2908,0.0425,6.3883,24.0
07:26:31 PM,6.2798,0.0443,6.3791,25.0
07:26:32 PM,6.2996,0.0460,6.3812,26.0
07:26:33 PM,6.2556,0.0478,6.3731,27.0
07:26:34 PM,6.2509,0.0495,6.3752,28.0
07:26:35 PM,6.2396,0.0513,6.3678,29.0
07:26:36 PM,6.2580,0.0530,6.3717,30.0
07:26:37 PM,6.2522,0.0547,6.3633,31.0
07:26:38 PM,6.2526,0.0565,6.3539,32.0
07:26:39 PM,6.2430,0.0582,6.3578,33.0
07:26:40 PM,6.2315,0.0600,6.3506,34.0
