SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
02:29:39 PM,6.5849,0.0000,3.4734,0.0
02:29:40 PM,6.5403,0.0037,0.0000,2.0
02:29:41 PM,6.5684,0.0055,6.6861,3.0
02:29:42 PM,6.5642,0.0055,6.6345,3.0
02:29:43 PM,6.5333,0.0073,6.6345,4.0
02:29:44 PM,6.5590,0.0092,6.5828,5.0
02:29:45 PM,6.5993,0.0110,6.6240,6.0
02:29:46 PM,6.6024,0.0128,6.6086,7.0
02:29:47 PM,6.5921,0.0146,6.5829,8.0
02:29:48 PM,6.5888,0.0164,6.5636,9.0
02:29:49 PM,6.5783,0.0183,6.5714,10.0
02:29:50 PM,6.5787,0.0201,6.5931,11.0
02:29:51 PM,6.5807,0.0220,6.5828,12.0
02:29:52 PM,6.5784,0.0238,6.6000,13.0
02:29:53 PM,6.5730,0.0256,6.5987,14.0
02:29:54 PM,6.5946,0.0274,6.5865,15.0
02:29:55 PM,6.5592,0.0292,6.5760,16.0
02:29:56 PM,6.5890,0.0311,6.5764,17.0
02:29:57 PM,6.5797,0.0329,6.5919,18.0
02:29:58 PM,6.5615,0.0348,6.5800,19.0
02:29:59 PM,6.5541,0.0365,6.5910,20.0
02:30:00 PM,6.5730,0.0384,6.5751,21.0
02:30:01 PM,6.5824,0.0402,6.5829,22.0
02:30:02 PM,6.5824,0.0420,6.5828,23.0
02:30:03 PM,6.5690,0.0457,6.5761,25.0
02:30:04 PM,6.5626,0.0475,6.5849,26.0
02:30:05 PM,6.5820,0.0475,6.5769,26.0
02:30:06 PM,6.5556,0.0493,6.5769,27.0
02:30:07 PM,6.6894,0.0511,6.5771,28.0
02:30:08 PM,6.6524,0.0530,6.5737,29.0
02:30:09 PM,6.6278,0.0548,6.5793,30.0
02:30:10 PM,6.6642,0.0567,6.5777,31.0
02:30:11 PM,6.6587,0.0585,6.5878,32.0
02:30:12 PM,6.6439,0.0604,6.5845,33.0
02:30:13 PM,6.6351,0.0622,6.5922,34.0
02:30:14 PM,6.6586,0.0641,6.5859,35.0
02:30:15 PM,6.6967,0.0659,6.5931,36.0
02:30:16 PM,6.6645,0.0678,6.5900,37.0
02:30:17 PM,6.6472,0.0696,6.5981,38.0
02:30:18 PM,6.6051,0.0715,6.5964,39.0
02:30:19 PM,6.6186,0.0733,6.6000,40.0
02:30:20 PM,6.5986,0.0752,6.5970,41.0
02:30:21 PM,6.5875,0.0770,6.6029,42.0
02:30:22 PM,6.5959,0.0788,6.5988,43.0
02:30:23 PM,6.5929,0.0807,6.5996,44.0
02:30:24 PM,6.5482,0.0825,6.6039,45.0
02:30:25 PM,6.7349,0.0843,6.6011,46.0
02:30:26 PM,6.6523,0.0861,6.5974,47.0
02:30:27 PM,6.6602,0.0880,6.5971,48.0
02:30:28 PM,6.6196,0.0899,6.6011,49.0
02:30:29 PM,6.7333,0.0917,6.6059,50.0
02:30:30 PM,6.7110,0.0935,6.6045,51.0
02:30:31 PM,6.7120,0.0954,6.6020,52.0
02:30:32 PM,6.6749,0.0973,6.6046,53.0
02:30:33 PM,6.7011,0.0992,6.6110,54.0
02:30:34 PM,6.6680,0.1010,6.6133,55.0
02:30:35 PM,6.6759,0.1029,6.6118,56.0
02:30:36 PM,6.6944,0.1047,6.6150,57.0
02:30:37 PM,6.6775,0.1066,6.6126,58.0
02:30:38 PM,6.6884,0.1085,6.6174,59.0
02:30:39 PM,6.6759,0.1103,6.6195,60.0
02:30:40 PM,6.6719,0.1121,6.6180,61.0
02:30:41 PM,6.7091,0.1140,6.6174,62.0
02:30:42 PM,6.6254,0.1159,6.6185,63.0
02:30:43 PM,6.6474,0.1177,6.6229,64.0
02:30:44 PM,6.5212,0.1195,6.6222,65.0
02:30:45 PM,6.5522,0.1214,6.6201,66.0
02:30:46 PM,6.6145,0.1232,6.6234,67.0
02:30:47 PM,6.5778,0.1250,6.6197,68.0
02:30:48 PM,6.5668,0.1269,6.6192,69.0
02:30:49 PM,6.6731,0.1287,6.6224,70.0
02:30:50 PM,6.6159,0.1305,6.6196,71.0
02:30:51 PM,6.6523,0.1324,6.6162,72.0
02:30:52 PM,6.6216,0.1342,6.6200,73.0
02:30:53 PM,6.6405,0.1361,6.6181,74.0
02:30:54 PM,6.6130,0.1379,6.6218,75.0
02:30:55 PM,6.6243,0.1397,6.6199,76.0
02:30:56 PM,6.6507,0.1416,6.6180,77.0
02:30:57 PM,6.6355,0.1434,6.6209,78.0
02:30:58 PM,6.6379,0.1453,6.6185,79.0
02:30:59 PM,6.6507,0.1471,6.6219,80.0
02:31:00 PM,6.6544,0.1490,6.6201,81.0
02:31:01 PM,6.6350,0.1508,6.6229,82.0
02:31:02 PM,6.5112,0.1526,6.6217,83.0
02:31:03 PM,6.5675,0.1545,6.6200,84.0
02:31:04 PM,6.5861,0.1563,6.6227,85.0
