SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
03:29:32 PM,6.3298,0.0000,3.2409,0.0
03:29:33 PM,6.3039,0.0018,0.0000,1.0
03:29:34 PM,6.3179,0.0035,6.4800,2.0
03:29:35 PM,6.2776,0.0053,6.3000,3.0
03:29:36 PM,6.3226,0.0070,6.3435,4.0
03:29:37 PM,6.3202,0.0088,6.3123,5.0
03:29:38 PM,6.2922,0.0105,6.3261,6.0
03:29:39 PM,6.3118,0.0123,6.3082,7.0
03:29:40 PM,6.2984,0.0140,6.3257,8.0
03:29:41 PM,6.3051,0.0158,6.3000,9.0
03:29:42 PM,6.2826,0.0175,6.3145,10.0
03:29:43 PM,6.2923,0.0193,6.3000,11.0
03:29:44 PM,6.2991,0.0210,6.3164,12.0
03:29:45 PM,6.2932,0.0228,6.3000,13.0
03:29:46 PM,6.3153,0.0245,6.3176,14.0
03:29:47 PM,6.3666,0.0263,6.3000,15.0
03:29:48 PM,6.5400,0.0280,6.3120,16.0
03:29:49 PM,6.6867,0.0298,6.3000,17.0
03:29:50 PM,6.4693,0.0316,6.3106,18.0
03:29:51 PM,6.3049,0.0335,6.3200,19.0
03:29:52 PM,6.4027,0.0353,6.3474,20.0
03:29:53 PM,6.3840,0.0370,6.3540,21.0
03:29:54 PM,6.3775,0.0388,6.3429,22.0
03:29:55 PM,6.3513,0.0406,6.3491,23.0
03:29:56 PM,6.3184,0.0423,6.3548,24.0
03:29:57 PM,6.3289,0.0441,6.3450,25.0
03:29:58 PM,6.3201,0.0459,6.3504,26.0
03:29:59 PM,6.3310,0.0476,6.3554,27.0
03:30:00 PM,6.3262,0.0494,6.3467,28.0
03:30:01 PM,6.3093,0.0511,6.3514,29.0
03:30:02 PM,6.3053,0.0529,6.3434,30.0
03:30:03 PM,6.3113,0.0546,6.3480,31.0
03:30:04 PM,6.3641,0.0564,6.3391,32.0
03:30:05 PM,6.2689,0.0581,6.3450,33.0
03:30:06 PM,6.3317,0.0599,6.3382,34.0
03:30:07 PM,6.3042,0.0617,6.3438,35.0
03:30:08 PM,6.3053,0.0634,6.3449,36.0
03:30:09 PM,6.3066,0.0652,6.3400,37.0
03:30:10 PM,6.2977,0.0669,6.3438,38.0
03:30:11 PM,6.3067,0.0687,6.3379,39.0
03:30:12 PM,6.2839,0.0704,6.3403,40.0
03:30:13 PM,6.3193,0.0722,6.3360,41.0
03:30:14 PM,6.3227,0.0739,6.3395,42.0
03:30:15 PM,6.3124,0.0757,6.3343,43.0
03:30:16 PM,6.2953,0.0774,6.3377,44.0
03:30:17 PM,6.2768,0.0792,6.3327,45.0
03:30:18 PM,6.3149,0.0809,6.3360,46.0
03:30:19 PM,6.3302,0.0827,6.3313,47.0
03:30:20 PM,6.3139,0.0844,6.3345,48.0
03:30:21 PM,6.3111,0.0862,6.3300,49.0
03:30:22 PM,6.3106,0.0879,6.3331,50.0
03:30:23 PM,6.2979,0.0897,6.3288,51.0
03:30:24 PM,6.3006,0.0914,6.3318,52.0
03:30:25 PM,6.3307,0.0932,6.3286,53.0
03:30:26 PM,6.3149,0.0950,6.3306,54.0
03:30:27 PM,6.3110,0.0967,6.3324,55.0
03:30:28 PM,6.3314,0.0984,6.3295,56.0
03:30:29 PM,6.3010,0.1002,6.3266,57.0
03:30:30 PM,6.3214,0.1020,6.3284,58.0
03:30:31 PM,6.3076,0.1037,6.3310,59.0
03:30:32 PM,6.3022,0.1055,6.3275,60.0
03:30:33 PM,6.3094,0.1072,6.3300,61.0
03:30:34 PM,6.3178,0.1107,6.3274,63.0
03:30:35 PM,6.3178,0.1125,6.3257,64.0
03:30:36 PM,6.3232,0.1125,6.3281,64.0
03:30:37 PM,6.3333,0.1142,6.3281,65.0
03:30:38 PM,6.3163,0.1160,6.3249,66.0
03:30:39 PM,6.3256,0.1177,6.3273,67.0
03:30:40 PM,6.3293,0.1213,6.3242,69.0
03:30:41 PM,6.2810,0.1213,6.3287,69.0
03:30:42 PM,6.2896,0.1230,6.3287,70.0
03:30:43 PM,6.3363,0.1248,6.3257,71.0
03:30:44 PM,6.2892,0.1265,6.3272,72.0
03:30:45 PM,6.3342,0.1283,6.3250,73.0
03:30:46 PM,6.3106,0.1300,6.3271,74.0
03:30:47 PM,6.2964,0.1318,6.3250,75.0
03:30:48 PM,6.3062,0.1335,6.3257,76.0
03:30:49 PM,6.2918,0.1353,6.3237,77.0
03:30:50 PM,6.2918,0.1388,6.3257,79.0
03:30:51 PM,6.3120,0.1388,6.3251,79.0
03:30:52 PM,6.2625,0.1405,6.3251,80.0
03:30:53 PM,6.3298,0.1423,6.3225,81.0
03:30:54 PM,6.3188,0.1440,6.3238,82.0
03:30:55 PM,6.3191,0.1458,6.3226,83.0
03:30:56 PM,6.3289,0.1475,6.3233,84.0
03:30:57 PM,6.2906,0.1493,6.3214,85.0
