SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
05:48:08 PM,6.0972,0.0000,3.2965,0.0
05:48:09 PM,6.0016,0.0017,0.0000,1.0
05:48:10 PM,6.0007,0.0017,6.0726,1.0
05:48:11 PM,6.0045,0.0034,6.0726,2.0
05:48:12 PM,6.0140,0.0050,6.1200,3.0
05:48:13 PM,5.9911,0.0084,5.9844,5.0
05:48:14 PM,6.2618,0.0100,6.0386,6.0
05:48:15 PM,6.1837,0.0100,6.0000,6.0
05:48:16 PM,6.1690,0.0118,6.0000,7.0
05:48:17 PM,6.2161,0.0135,6.0686,8.0
05:48:18 PM,6.1980,0.0152,6.0750,9.0
05:48:19 PM,6.2481,0.0187,6.0800,11.0
05:48:20 PM,6.1890,0.0187,6.1157,11.0
05:48:21 PM,6.2175,0.0221,6.1157,13.0
05:48:22 PM,6.1679,0.0238,6.1163,14.0
05:48:23 PM,6.1840,0.0238,6.1200,14.0
05:48:24 PM,6.2014,0.0273,6.1200,16.0
05:48:25 PM,6.2238,0.0290,6.1425,17.0
05:48:26 PM,6.1764,0.0290,6.1384,17.0
05:48:27 PM,6.2093,0.0307,6.1384,18.0
05:48:28 PM,6.2058,0.0341,6.1400,20.0
05:48:29 PM,6.2612,0.0341,6.1404,20.0
05:48:30 PM,6.2071,0.0376,6.1404,22.0
05:48:31 PM,6.1826,0.0376,6.1505,22.0
05:48:32 PM,6.1865,0.0411,6.1505,24.0
05:48:33 PM,6.2024,0.0411,6.1650,24.0
05:48:34 PM,6.1970,0.0445,6.1650,26.0
05:48:35 PM,6.1970,0.0445,6.1578,26.0
05:48:36 PM,6.2190,0.0479,6.1578,28.0
05:48:37 PM,6.1959,0.0479,6.1569,28.0
05:48:38 PM,6.2114,0.0514,6.1569,30.0
05:48:39 PM,6.1878,0.0514,6.1680,30.0
05:48:40 PM,6.2475,0.0548,6.1680,32.0
05:48:41 PM,6.2299,0.0548,6.1635,32.0
05:48:42 PM,6.2352,0.0583,6.1635,34.0
05:48:43 PM,6.1987,0.0583,6.1729,34.0
05:48:44 PM,6.1646,0.0618,6.1729,36.0
05:48:45 PM,6.2062,0.0618,6.1787,36.0
05:48:46 PM,6.1592,0.0652,6.1787,38.0
05:48:47 PM,6.1481,0.0652,6.1768,38.0
05:48:48 PM,6.1583,0.0686,6.1768,40.0
05:48:49 PM,6.1524,0.0686,6.1728,40.0
05:48:50 PM,6.1601,0.0720,6.1728,42.0
05:48:51 PM,6.1432,0.0720,6.1703,42.0
05:48:52 PM,6.1311,0.0754,6.1703,44.0
05:48:53 PM,6.1537,0.0754,6.1691,44.0
05:48:54 PM,6.1177,0.0789,6.1691,46.0
05:48:55 PM,6.1162,0.0789,6.1737,46.0
05:48:56 PM,6.1448,0.0822,6.1737,48.0
05:48:57 PM,6.1284,0.0840,6.1650,49.0
05:48:58 PM,6.1073,0.0840,6.1704,50.0
05:48:59 PM,6.0646,0.0874,6.0489,51.0
05:49:00 PM,6.0663,0.0874,6.1685,51.0
05:49:01 PM,6.0561,0.0891,6.1685,52.0
05:49:02 PM,6.0556,0.0924,6.1675,54.0
05:49:03 PM,6.0657,0.0924,6.1600,54.0
05:49:04 PM,6.0932,0.0958,6.1600,56.0
05:49:05 PM,6.0381,0.0958,6.1586,56.0
05:49:06 PM,6.0191,0.0991,6.1586,58.0
05:49:07 PM,6.0021,0.0991,6.1519,58.0
05:49:08 PM,6.0068,0.1008,6.1519,59.0
05:49:09 PM,6.0086,0.1025,6.1505,60.0
05:49:10 PM,6.0546,0.1058,6.1492,62.0
05:49:11 PM,6.0097,0.1058,6.1425,62.0
05:49:12 PM,5.9893,0.1092,6.1425,64.0
05:49:13 PM,6.0440,0.1092,6.1432,64.0
05:49:14 PM,6.0392,0.1125,6.1432,66.0
05:49:15 PM,6.0104,0.1125,6.1356,66.0
05:49:16 PM,6.0002,0.1142,6.1356,67.0
05:49:17 PM,6.0260,0.1175,6.1354,69.0
05:49:18 PM,6.1412,0.1175,6.1297,69.0
05:49:19 PM,6.1242,0.1209,6.1297,71.0
05:49:20 PM,6.1235,0.1209,6.1301,71.0
05:49:21 PM,6.1526,0.1243,6.1301,73.0
05:49:22 PM,6.1532,0.1260,6.1305,74.0
05:49:23 PM,6.0295,0.1260,6.1297,74.0
05:49:24 PM,6.0588,0.1277,6.1297,75.0
05:49:25 PM,6.0124,0.1311,6.1296,77.0
05:49:26 PM,5.9612,0.1311,6.1294,77.0
05:49:27 PM,5.9919,0.1344,6.1294,79.0
05:49:28 PM,5.9602,0.1361,6.1240,80.0
05:49:29 PM,5.8652,0.1361,6.1245,80.0
05:49:30 PM,5.9345,0.1394,6.1245,82.0
05:49:31 PM,5.8892,0.1410,6.1194,83.0
05:49:32 PM,5.9210,0.1410,6.1151,83.0
05:49:33 PM,5.9324,0.1443,6.1151,85.0
05:49:34 PM,5.8961,0.1459,6.1115,86.0
05:49:35 PM,5.8871,0.1459,6.1074,86.0
