SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
05:37:08 PM,7.3055,0.0000,3.2310,0.0
05:37:09 PM,7.3055,0.0016,0.0000,1.0
05:37:10 PM,7.0824,0.0037,5.7154,2.0
05:37:11 PM,6.9775,0.0057,6.6341,3.0
05:37:12 PM,6.8712,0.0076,6.8223,4.0
05:37:13 PM,6.6157,0.0096,6.8267,5.0
05:37:14 PM,8.0216,0.0115,6.9012,6.0
05:37:15 PM,6.5310,0.0133,6.8910,7.0
05:37:16 PM,6.8950,0.0156,6.8324,8.0
05:37:17 PM,6.8950,0.0174,7.0132,9.0
05:37:18 PM,6.8472,0.0193,6.9540,10.0
05:37:19 PM,6.8378,0.0212,6.9480,11.0
05:37:20 PM,6.8890,0.0231,6.9382,12.0
05:37:21 PM,6.1960,0.0250,6.9300,13.0
05:37:22 PM,6.0892,0.0269,6.9231,14.0
05:37:23 PM,6.1089,0.0286,6.9210,15.0
05:37:24 PM,6.3606,0.0303,6.8604,16.0
05:37:25 PM,6.8656,0.0320,6.8142,17.0
05:37:26 PM,6.7444,0.0338,6.7734,18.0
05:37:27 PM,6.6349,0.0357,6.7571,19.0
05:37:28 PM,6.5376,0.0376,6.7614,20.0
05:37:29 PM,6.5939,0.0394,6.7654,21.0
05:37:30 PM,6.6232,0.0412,6.7518,22.0
05:37:31 PM,6.5916,0.0430,6.7394,23.0
05:37:32 PM,6.5916,0.0449,6.7304,24.0
05:37:33 PM,6.5816,0.0467,6.7328,25.0
05:37:34 PM,6.6249,0.0486,6.7248,26.0
05:37:35 PM,6.6136,0.0504,6.7272,27.0
05:37:36 PM,6.5836,0.0522,6.7181,28.0
05:37:37 PM,6.6075,0.0540,6.7096,29.0
05:37:38 PM,6.5988,0.0559,6.7034,30.0
05:37:39 PM,6.5964,0.0577,6.7063,31.0
05:37:40 PM,6.5831,0.0596,6.7006,32.0
05:37:41 PM,6.5716,0.0614,6.7034,33.0
05:37:42 PM,6.6018,0.0632,6.6982,34.0
05:37:43 PM,6.5807,0.0650,6.6887,35.0
05:37:44 PM,6.5790,0.0669,6.6842,36.0
05:37:45 PM,6.5886,0.0687,6.6900,37.0
05:37:46 PM,6.5972,0.0705,6.6843,38.0
05:37:47 PM,6.5972,0.0723,6.6776,39.0
05:37:48 PM,6.5736,0.0742,6.6738,40.0
05:37:49 PM,6.5805,0.0760,6.6767,41.0
05:37:50 PM,6.5928,0.0778,6.6719,42.0
05:37:51 PM,6.5757,0.0797,6.6686,43.0
05:37:52 PM,6.5547,0.0815,6.6726,44.0
05:37:53 PM,6.6050,0.0833,6.6670,45.0
05:37:54 PM,6.5796,0.0851,6.6628,46.0
05:37:55 PM,6.5985,0.0870,6.6600,47.0
05:37:56 PM,6.6167,0.0888,6.6627,48.0
05:37:57 PM,6.5708,0.0906,6.6589,49.0
05:37:58 PM,6.5866,0.0925,6.6563,50.0
05:37:59 PM,6.6052,0.0943,6.6600,51.0
05:38:00 PM,6.5710,0.0961,6.6565,52.0
05:38:01 PM,6.5964,0.0980,6.6521,53.0
05:38:02 PM,6.5594,0.0998,6.6566,54.0
05:38:03 PM,6.5873,0.1016,6.6533,55.0
05:38:04 PM,6.5809,0.1035,6.6492,56.0
05:38:05 PM,6.5793,0.1053,6.6526,57.0
05:38:06 PM,6.5873,0.1071,6.6505,58.0
05:38:07 PM,6.5739,0.1089,6.6467,59.0
05:38:08 PM,6.5839,0.1108,6.6439,60.0
05:38:09 PM,6.6033,0.1126,6.6480,61.0
05:38:10 PM,6.5679,0.1144,6.6435,62.0
05:38:11 PM,6.6219,0.1162,6.6417,63.0
05:38:12 PM,6.5834,0.1181,6.6400,64.0
05:38:13 PM,6.5896,0.1199,6.6415,65.0
05:38:14 PM,6.5857,0.1218,6.6406,66.0
05:38:15 PM,6.5911,0.1236,6.6429,67.0
05:38:16 PM,6.5580,0.1254,6.6404,68.0
05:38:17 PM,6.5986,0.1272,6.6388,69.0
05:38:18 PM,6.5795,0.1291,6.6358,70.0
05:38:19 PM,6.5796,0.1309,6.6387,71.0
05:38:20 PM,6.5965,0.1327,6.6372,72.0
05:38:21 PM,6.5642,0.1346,6.6343,73.0
05:38:22 PM,6.6058,0.1364,6.6371,74.0
05:38:23 PM,6.5838,0.1382,6.6357,75.0
05:38:24 PM,6.5574,0.1400,6.6329,76.0
05:38:25 PM,6.6009,0.1419,6.6309,77.0
05:38:26 PM,6.5766,0.1437,6.6343,78.0
05:38:27 PM,6.5852,0.1455,6.6310,79.0
05:38:28 PM,6.5945,0.1473,6.6297,80.0
05:38:29 PM,6.5738,0.1492,6.6285,81.0
05:38:30 PM,6.5910,0.1510,6.6305,82.0
05:38:31 PM,6.5638,0.1528,6.6286,83.0
05:38:32 PM,6.6070,0.1547,6.6275,84.0
05:38:33 PM,6.5925,0.1565,6.6294,85.0
05:38:34 PM,6.5946,0.1583,6.6276,86.0
05:38:35 PM,6.5972,0.1602,6.6253,87.0
05:38:36 PM,6.5947,0.1620,6.6284,88.0
05:38:37 PM,6.6096,0.1638,6.6273,89.0
05:38:38 PM,6.6738,0.1656,6.6250,90.0
05:38:39 PM,6.5818,0.1675,6.6240,91.0
05:38:40 PM,6.6078,0.1693,6.6258,92.0
05:38:41 PM,6.6283,0.1712,6.6248,93.0
05:38:42 PM,6.6087,0.1730,6.6271,94.0
05:38:43 PM,6.5733,0.1749,6.6250,95.0
05:38:44 PM,6.4999,0.1767,6.6272,96.0
05:38:45 PM,6.2634,0.1785,6.6252,97.0
05:38:46 PM,6.3246,0.1803,6.6242,98.0
05:38:47 PM,6.3203,0.1820,6.6233,99.0
05:38:48 PM,6.3203,0.1838,6.6182,100.0
