SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
08:18:19 PM,6.5311,0.0000,3.2430,0.0
08:18:20 PM,6.5317,0.0018,0.0000,1.0
08:18:21 PM,6.5644,0.0018,6.4800,1.0
08:18:22 PM,6.5278,0.0036,6.4800,2.0
08:18:23 PM,6.5557,0.0055,6.4548,3.0
08:18:24 PM,6.5572,0.0073,6.6000,4.0
08:18:25 PM,6.5671,0.0091,6.5700,5.0
08:18:26 PM,6.6012,0.0109,6.5520,6.0
08:18:27 PM,6.5568,0.0127,6.5400,7.0
08:18:28 PM,6.5727,0.0146,6.5314,8.0
08:18:29 PM,6.4726,0.0164,6.5700,9.0
08:18:30 PM,6.3659,0.0182,6.5543,10.0
08:18:31 PM,6.3638,0.0200,6.5520,11.0
08:18:32 PM,6.4387,0.0218,6.5455,12.0
08:18:33 PM,6.4351,0.0235,6.5358,13.0
08:18:34 PM,6.3981,0.0253,6.5077,14.0
08:18:35 PM,6.4292,0.0271,6.5057,15.0
08:18:36 PM,6.4119,0.0289,6.5040,16.0
08:18:37 PM,6.4028,0.0307,6.4993,17.0
08:18:38 PM,6.4112,0.0325,6.5012,18.0
08:18:39 PM,6.4180,0.0342,6.5000,19.0
08:18:40 PM,6.4192,0.0360,6.4800,20.0
08:18:41 PM,6.4386,0.0378,6.4800,21.0
08:18:42 PM,6.4154,0.0396,6.4800,22.0
08:18:43 PM,6.4364,0.0414,6.4800,23.0
08:18:44 PM,6.4344,0.0432,6.4800,24.0
08:18:45 PM,6.4059,0.0450,6.4800,25.0
08:18:46 PM,6.4093,0.0467,6.4800,26.0
08:18:47 PM,6.4380,0.0485,6.4662,27.0
08:18:48 PM,6.4129,0.0503,6.4667,28.0
08:18:49 PM,6.4226,0.0521,6.4671,29.0
08:18:50 PM,6.4184,0.0539,6.4676,30.0
08:18:51 PM,6.4042,0.0557,6.4680,31.0
08:18:52 PM,6.4174,0.0574,6.4668,32.0
08:18:53 PM,6.4261,0.0592,6.4575,33.0
08:18:54 PM,6.4254,0.0610,6.4567,34.0
08:18:55 PM,6.4232,0.0628,6.4588,35.0
08:18:56 PM,6.4334,0.0646,6.4594,36.0
08:18:57 PM,6.3906,0.0664,6.4600,37.0
08:18:58 PM,6.4429,0.0681,6.4592,38.0
08:18:59 PM,6.3805,0.0699,6.4516,39.0
08:19:00 PM,6.4240,0.0717,6.4523,40.0
08:19:01 PM,6.4022,0.0735,6.4530,41.0
08:19:02 PM,6.4275,0.0753,6.4537,42.0
08:19:03 PM,6.3892,0.0770,6.4543,43.0
08:19:04 PM,6.3881,0.0788,6.4465,44.0
08:19:05 PM,6.4114,0.0806,6.4473,45.0
08:19:06 PM,6.4297,0.0824,6.4480,46.0
08:19:07 PM,6.3962,0.0842,6.4487,47.0
08:19:08 PM,6.4125,0.0859,6.4494,48.0
08:19:09 PM,6.4369,0.0877,6.4425,49.0
08:19:10 PM,6.3985,0.0895,6.4433,50.0
08:19:11 PM,6.4320,0.0913,6.4440,51.0
08:19:12 PM,6.3937,0.0931,6.4447,52.0
08:19:13 PM,6.4373,0.0949,6.4454,53.0
08:19:14 PM,6.4461,0.0966,6.4451,54.0
08:19:15 PM,6.4593,0.0984,6.4400,55.0
08:19:16 PM,6.4148,0.1002,6.4407,56.0
08:19:17 PM,6.4449,0.1020,6.4423,57.0
08:19:18 PM,6.4096,0.1038,6.4421,58.0
08:19:19 PM,6.4217,0.1056,6.4428,59.0
08:19:20 PM,6.3820,0.1074,6.4434,60.0
08:19:21 PM,6.3623,0.1091,6.4440,61.0
08:19:22 PM,6.3939,0.1109,6.4387,62.0
08:19:23 PM,6.3828,0.1127,6.4394,63.0
08:19:24 PM,6.3509,0.1145,6.4400,64.0
08:19:25 PM,6.3443,0.1162,6.4406,65.0
08:19:26 PM,6.3489,0.1180,6.4365,66.0
08:19:27 PM,6.3533,0.1198,6.4356,67.0
08:19:28 PM,6.3445,0.1215,6.4363,68.0
08:19:29 PM,6.3379,0.1233,6.4324,69.0
08:19:30 PM,6.3495,0.1250,6.4330,70.0
08:19:31 PM,6.3686,0.1268,6.4286,71.0
08:19:32 PM,6.3251,0.1286,6.4293,72.0
08:19:33 PM,6.3417,0.1303,6.4300,73.0
08:19:34 PM,6.3267,0.1321,6.4258,74.0
08:19:35 PM,6.3644,0.1339,6.4265,75.0
08:19:36 PM,6.3349,0.1356,6.4272,76.0
08:19:37 PM,6.3273,0.1374,6.4238,77.0
08:19:38 PM,6.3618,0.1392,6.4239,78.0
08:19:39 PM,6.3223,0.1409,6.4240,79.0
08:19:40 PM,6.3636,0.1427,6.4208,80.0
08:19:41 PM,6.3401,0.1444,6.4209,81.0
08:19:42 PM,6.2470,0.1462,6.4178,82.0
08:19:43 PM,6.1127,0.1479,6.4179,83.0
08:19:44 PM,5.9872,0.1497,6.4155,84.0
08:19:45 PM,5.5241,0.1514,6.4157,85.0
