SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
01:58:23 PM,6.2797,0.0000,3.2964,0.0
01:58:24 PM,6.2721,0.0017,0.0000,1.0
01:58:25 PM,6.2761,0.0035,6.1681,2.0
01:58:26 PM,6.2819,0.0000,6.3000,0.0
01:58:27 PM,6.2585,0.0017,0.0000,1.0
01:58:28 PM,6.2741,0.0035,6.1681,2.0
01:58:29 PM,6.2741,0.0052,6.2755,3.0
01:58:30 PM,6.2968,0.0070,6.2400,4.0
01:58:31 PM,6.3003,0.0087,6.2877,5.0
01:58:32 PM,6.2712,0.0105,6.2640,6.0
01:58:33 PM,6.2925,0.0122,6.2837,7.0
01:58:34 PM,6.2688,0.0140,6.2743,8.0
01:58:35 PM,6.2793,0.0157,6.2939,9.0
01:58:36 PM,6.2616,0.0175,6.2800,10.0
01:58:37 PM,6.2713,0.0192,6.2902,11.0
01:58:38 PM,6.2714,0.0209,6.2836,12.0
01:58:39 PM,6.2866,0.0227,6.2741,13.0
01:58:40 PM,6.2684,0.0244,6.2824,14.0
01:58:41 PM,6.2703,0.0262,6.2743,15.0
01:58:42 PM,6.2710,0.0279,6.2847,16.0
01:58:43 PM,6.2943,0.0296,6.2775,17.0
01:58:44 PM,6.2852,0.0314,6.2711,18.0
01:58:45 PM,6.2478,0.0331,6.2773,19.0
01:58:46 PM,6.2889,0.0349,6.2742,20.0
01:58:47 PM,6.2834,0.0366,6.2820,21.0
01:58:48 PM,6.2717,0.0384,6.2743,22.0
01:58:49 PM,6.2679,0.0401,6.2814,23.0
01:58:50 PM,6.2871,0.0419,6.2765,24.0
01:58:51 PM,6.2822,0.0436,6.2830,25.0
01:58:52 PM,6.2807,0.0454,6.2784,26.0
01:58:53 PM,6.2536,0.0471,6.2824,27.0
01:58:54 PM,6.2598,0.0488,6.2800,28.0
01:58:55 PM,6.2755,0.0506,6.2708,29.0
01:58:56 PM,6.2770,0.0523,6.2797,30.0
01:58:57 PM,6.2825,0.0541,6.2760,31.0
01:58:58 PM,6.2777,0.0558,6.2794,32.0
01:58:59 PM,6.2691,0.0576,6.2775,33.0
01:59:00 PM,6.2659,0.0593,6.2807,34.0
01:59:01 PM,6.2643,0.0610,6.2788,35.0
01:59:02 PM,6.2988,0.0628,6.2757,36.0
01:59:03 PM,6.2521,0.0645,6.2786,37.0
01:59:04 PM,6.2733,0.0663,6.2757,38.0
01:59:05 PM,6.2778,0.0680,6.2798,39.0
01:59:06 PM,6.2928,0.0697,6.2769,40.0
01:59:07 PM,6.2322,0.0715,6.2742,41.0
01:59:08 PM,6.2648,0.0732,6.2769,42.0
01:59:09 PM,6.2606,0.0750,6.2755,43.0
01:59:10 PM,6.2727,0.0767,6.2768,44.0
01:59:11 PM,6.2640,0.0784,6.2743,45.0
01:59:12 PM,6.2576,0.0802,6.2720,46.0
01:59:13 PM,6.2649,0.0819,6.2755,47.0
01:59:14 PM,6.2458,0.0836,6.2732,48.0
01:59:15 PM,6.2581,0.0854,6.2710,49.0
01:59:16 PM,6.2658,0.0871,6.2733,50.0
01:59:17 PM,6.3085,0.0889,6.2702,51.0
01:59:18 PM,6.3178,0.0906,6.2753,52.0
01:59:19 PM,6.2993,0.0923,6.2714,53.0
01:59:20 PM,6.2624,0.0941,6.2694,54.0
01:59:21 PM,6.2772,0.0959,6.2733,55.0
01:59:22 PM,6.2620,0.0976,6.2762,56.0
01:59:23 PM,6.2329,0.0993,6.2743,57.0
01:59:24 PM,6.1712,0.1011,6.2724,58.0
01:59:25 PM,6.1659,0.1028,6.2743,59.0
01:59:26 PM,6.1705,0.1045,6.2725,60.0
01:59:27 PM,6.1722,0.1062,6.2692,61.0
01:59:28 PM,6.1790,0.1080,6.2675,62.0
01:59:29 PM,6.1552,0.1097,6.2702,63.0
01:59:30 PM,6.1730,0.1114,6.2670,64.0
01:59:31 PM,6.1338,0.1131,6.2662,65.0
01:59:32 PM,6.1736,0.1148,6.2632,66.0
01:59:33 PM,6.1451,0.1165,6.2626,67.0
01:59:34 PM,6.1394,0.1183,6.2590,68.0
01:59:35 PM,6.1764,0.1199,6.2615,69.0
01:59:36 PM,6.1479,0.1216,6.2557,70.0
01:59:37 PM,6.1440,0.1234,6.2544,71.0
01:59:38 PM,6.1686,0.1251,6.2569,72.0
01:59:39 PM,6.1434,0.1268,6.2543,73.0
01:59:40 PM,6.1623,0.1285,6.2532,74.0
01:59:41 PM,6.1543,0.1302,6.2507,75.0
01:59:42 PM,6.1725,0.1319,6.2496,76.0
01:59:43 PM,6.1725,0.1336,6.2473,78.0
01:59:44 PM,6.1794,0.1336,6.1662,78.0
01:59:45 PM,6.1794,0.1388,6.1662,80.0
01:59:46 PM,6.1634,0.1388,6.2460,80.0
01:59:47 PM,6.1560,0.1405,6.2460,81.0
01:59:48 PM,6.1654,0.1422,6.2438,82.0
01:59:49 PM,6.1752,0.1439,6.2435,83.0
01:59:50 PM,6.1431,0.1456,6.2414,84.0
