SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
03:20:17 PM,6.4707,0.0000,3.5382,0.0
03:20:18 PM,6.4968,0.0018,0.0000,1.0
03:20:19 PM,6.4671,0.0054,6.4800,3.0
03:20:20 PM,6.4651,0.0072,6.4969,4.0
03:20:21 PM,6.4828,0.0072,6.4800,4.0
03:20:22 PM,6.4696,0.0090,6.4800,5.0
03:20:23 PM,6.4679,0.0108,6.4901,6.0
03:20:24 PM,6.4497,0.0126,6.4800,7.0
03:20:25 PM,6.4506,0.0144,6.4872,8.0
03:20:26 PM,6.4713,0.0162,6.4800,9.0
03:20:27 PM,6.4641,0.0180,6.4800,10.0
03:20:28 PM,6.4540,0.0198,6.4851,11.0
03:20:29 PM,6.4576,0.0216,6.4800,12.0
03:20:30 PM,6.4758,0.0233,6.4800,13.0
03:20:31 PM,6.4594,0.0251,6.4562,14.0
03:20:32 PM,6.4401,0.0269,6.4543,15.0
03:20:33 PM,6.3752,0.0288,6.4594,16.0
03:20:34 PM,6.3831,0.0305,6.4768,17.0
03:20:35 PM,6.4109,0.0323,6.4588,18.0
03:20:36 PM,6.4044,0.0341,6.4600,19.0
03:20:37 PM,6.3934,0.0358,6.4611,20.0
03:20:38 PM,6.3748,0.0376,6.4465,21.0
03:20:39 PM,6.3772,0.0394,6.4481,22.0
03:20:40 PM,6.3949,0.0412,6.4473,23.0
03:20:41 PM,6.3738,0.0430,6.4509,24.0
03:20:42 PM,6.4160,0.0447,6.4500,25.0
03:20:43 PM,6.3785,0.0465,6.4388,26.0
03:20:44 PM,6.6779,0.0483,6.4385,27.0
03:20:45 PM,6.8875,0.0501,6.4381,28.0
03:20:46 PM,6.4007,0.0519,6.4414,29.0
03:20:47 PM,6.2822,0.0538,6.4428,30.0
03:20:48 PM,6.3359,0.0556,6.4560,31.0
03:20:49 PM,6.4633,0.0573,6.4551,32.0
03:20:50 PM,7.0884,0.0591,6.4462,33.0
03:20:51 PM,6.3833,0.0609,6.4473,34.0
03:20:52 PM,6.3563,0.0629,6.4497,35.0
03:20:53 PM,6.4555,0.0646,6.4697,36.0
03:20:54 PM,6.4425,0.0664,6.4614,37.0
03:20:55 PM,6.4556,0.0682,6.4592,38.0
03:20:56 PM,6.5759,0.0700,6.4611,39.0
03:20:57 PM,6.8528,0.0718,6.4615,40.0
03:20:58 PM,6.7430,0.0736,6.4633,41.0
03:20:59 PM,6.6938,0.0755,6.4624,42.0
03:21:00 PM,6.6929,0.0774,6.4714,43.0
03:21:01 PM,6.7154,0.0792,6.4812,44.0
03:21:02 PM,6.6781,0.0811,6.4811,45.0
03:21:03 PM,6.5231,0.0830,6.4891,46.0
03:21:04 PM,6.4853,0.0848,6.4968,47.0
03:21:05 PM,6.5241,0.0866,6.4964,48.0
03:21:06 PM,6.4986,0.0884,6.4961,49.0
03:21:07 PM,6.4854,0.0903,6.4947,50.0
03:21:08 PM,6.4913,0.0921,6.5016,51.0
03:21:09 PM,6.4954,0.0938,6.5012,52.0
03:21:10 PM,6.4790,0.0956,6.4948,53.0
03:21:11 PM,6.4990,0.0975,6.4945,54.0
03:21:12 PM,6.4858,0.0993,6.5000,55.0
03:21:13 PM,6.4743,0.1011,6.4987,56.0
03:21:14 PM,6.4617,0.1029,6.5002,57.0
03:21:15 PM,6.4614,0.1047,6.4989,58.0
03:21:16 PM,6.4000,0.1065,6.4995,59.0
03:21:17 PM,6.4488,0.1082,6.4983,60.0
03:21:18 PM,6.4328,0.1100,6.4928,61.0
03:21:19 PM,6.4292,0.1118,6.4918,62.0
03:21:20 PM,6.4085,0.1136,6.4924,63.0
03:21:21 PM,6.4410,0.1154,6.4922,64.0
03:21:22 PM,6.4527,0.1172,6.4920,65.0
03:21:23 PM,6.4319,0.1190,6.4911,66.0
03:21:24 PM,6.4410,0.1208,6.4917,67.0
03:21:25 PM,6.4412,0.1225,6.4900,68.0
03:21:26 PM,6.4531,0.1243,6.4860,69.0
03:21:27 PM,6.4492,0.1261,6.4852,70.0
03:21:28 PM,6.4343,0.1279,6.4851,71.0
03:21:29 PM,6.4228,0.1297,6.4851,72.0
03:21:30 PM,6.4687,0.1315,6.4857,73.0
03:21:31 PM,6.2650,0.1333,6.4856,74.0
03:21:32 PM,6.2624,0.1351,6.4855,75.0
03:21:33 PM,6.2761,0.1368,6.4848,76.0
03:21:34 PM,6.2483,0.1385,6.4800,77.0
03:21:35 PM,6.1659,0.1403,6.4760,78.0
03:21:36 PM,6.0318,0.1421,6.4747,79.0
03:21:37 PM,5.9455,0.1438,6.4748,80.0
03:21:38 PM,5.8462,0.1454,6.4704,81.0
03:21:39 PM,5.8353,0.1471,6.4628,82.0
03:21:40 PM,5.8465,0.1487,6.4580,83.0
03:21:41 PM,5.8537,0.1503,6.4502,84.0
03:21:42 PM,5.8359,0.1519,6.4414,85.0
03:21:43 PM,5.8558,0.1536,6.4340,86.0
03:21:44 PM,5.8881,0.1552,6.4298,87.0
03:21:45 PM,5.8546,0.1568,6.4226,88.0
03:21:46 PM,5.8852,0.1585,6.4145,89.0
03:21:47 PM,5.9455,0.1601,6.4112,90.0
03:21:48 PM,5.9342,0.1617,6.4046,91.0
03:21:49 PM,5.8814,0.1634,6.3975,92.0
03:21:50 PM,5.8921,0.1650,6.3939,93.0
03:21:51 PM,5.9353,0.1666,6.3876,94.0
03:21:52 PM,5.9010,0.1683,6.3810,95.0
03:21:53 PM,5.9314,0.1699,6.3782,96.0
03:21:54 PM,5.8993,0.1716,6.3712,97.0
03:21:55 PM,5.8930,0.1732,6.3687,98.0
03:21:56 PM,5.9563,0.1749,6.3630,99.0
03:21:57 PM,6.0592,0.1765,6.3605,100.0
03:21:58 PM,6.2350,0.1782,6.3545,101.0
03:21:59 PM,6.2759,0.1798,6.3517,102.0
03:22:00 PM,6.2662,0.1816,6.3459,104.0
