SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
05:11:42 PM,6.1667,0.0017,3.2718,1.0
05:11:43 PM,6.1773,0.0035,6.0726,2.0
05:11:44 PM,6.1865,0.0035,6.2755,2.0
05:11:45 PM,6.1657,0.0069,6.2755,4.0
05:11:46 PM,6.1702,0.0069,6.1979,4.0
05:11:47 PM,6.1702,0.0103,6.1979,6.0
05:11:48 PM,6.2019,0.0120,6.1720,7.0
05:11:49 PM,6.1846,0.0120,6.1646,7.0
05:11:50 PM,6.1698,0.0155,6.1646,9.0
05:11:51 PM,6.1803,0.0155,6.1946,9.0
05:11:52 PM,6.1702,0.0189,6.1946,11.0
05:11:53 PM,6.1526,0.0206,6.1811,12.0
05:11:54 PM,6.1857,0.0206,6.1760,12.0
05:11:55 PM,6.1620,0.0240,6.1760,14.0
05:11:56 PM,6.2077,0.0240,6.1680,14.0
05:11:57 PM,6.1670,0.0275,6.1680,16.0
05:11:58 PM,6.1833,0.0275,6.1875,16.0
05:11:59 PM,6.1819,0.0309,6.1875,18.0
05:12:00 PM,6.1716,0.0309,6.1773,18.0
05:12:01 PM,6.1769,0.0343,6.1773,20.0
05:12:02 PM,6.1722,0.0361,6.1716,21.0
05:12:03 PM,6.1872,0.0378,6.1863,22.0
05:12:04 PM,6.1733,0.0378,6.1833,22.0
05:12:05 PM,6.1810,0.0378,6.1833,22.0
05:12:06 PM,6.1810,0.0412,5.6663,24.0
05:12:07 PM,6.1738,0.0429,6.1760,25.0
05:12:08 PM,6.1831,0.0464,6.1737,27.0
05:12:09 PM,6.1547,0.0481,6.1831,28.0
05:12:10 PM,6.1930,0.0481,6.1843,28.0
05:12:11 PM,6.1829,0.0515,6.1843,30.0
05:12:12 PM,6.2084,0.0532,6.1784,31.0
05:12:13 PM,6.1574,0.0532,6.1765,31.0
05:12:14 PM,6.1925,0.0567,6.1765,33.0
05:12:15 PM,6.1822,0.0567,6.1840,33.0
05:12:16 PM,6.1625,0.0601,6.1840,35.0
05:12:17 PM,6.0821,0.0618,6.1803,36.0
05:12:18 PM,6.1543,0.0618,6.1787,36.0
05:12:19 PM,6.1261,0.0652,6.1787,38.0
05:12:20 PM,6.1232,0.0652,6.1756,38.0
05:12:21 PM,6.1232,0.0686,6.1756,40.0
05:12:22 PM,6.1362,0.0703,6.1728,41.0
05:12:23 PM,6.1286,0.0720,6.1715,42.0
05:12:24 PM,6.1298,0.0720,6.1703,42.0
05:12:25 PM,6.1283,0.0754,6.1703,44.0
05:12:26 PM,6.1435,0.0754,6.1680,44.0
05:12:27 PM,6.1193,0.0788,6.1680,46.0
05:12:28 PM,6.1006,0.0788,6.1659,46.0
05:12:29 PM,6.1363,0.0822,6.1659,48.0
05:12:30 PM,6.1398,0.0822,6.1640,48.0
05:12:31 PM,6.1136,0.0856,6.1640,50.0
05:12:32 PM,6.1288,0.0873,6.1632,51.0
05:12:33 PM,6.1275,0.0873,6.1614,51.0
05:12:34 PM,6.1080,0.0907,6.1614,53.0
05:12:35 PM,6.1037,0.0907,6.1589,53.0
05:12:36 PM,6.0980,0.0941,6.1589,55.0
05:12:37 PM,6.1446,0.0941,6.1584,55.0
05:12:38 PM,6.0914,0.0975,6.1584,57.0
05:12:39 PM,6.1275,0.0975,6.1571,57.0
05:12:40 PM,6.1231,0.1009,6.1571,59.0
05:12:41 PM,6.0897,0.1009,6.1558,59.0
05:12:42 PM,6.1243,0.1043,6.1558,61.0
05:12:43 PM,6.0910,0.1043,6.1546,61.0
05:12:44 PM,6.1121,0.1077,6.1546,63.0
05:12:45 PM,6.1230,0.1077,6.1535,63.0
05:12:46 PM,6.1280,0.1111,6.1535,65.0
05:12:47 PM,6.1337,0.1111,6.1518,65.0
05:12:48 PM,6.1309,0.1145,6.1518,67.0
05:12:49 PM,6.0887,0.1145,6.1515,67.0
05:12:50 PM,6.1246,0.1179,6.1515,69.0
05:12:51 PM,6.1220,0.1179,6.1513,69.0
05:12:52 PM,6.1060,0.1213,6.1513,71.0
05:12:53 PM,6.1237,0.1230,6.1504,72.0
05:12:54 PM,6.1073,0.1230,6.1493,72.0
05:12:55 PM,6.1392,0.1264,6.1493,74.0
05:12:56 PM,6.1294,0.1264,6.1485,74.0
05:12:57 PM,6.1255,0.1298,6.1485,76.0
05:12:58 PM,6.0998,0.1298,6.1484,76.0
05:12:59 PM,6.1324,0.1332,6.1484,78.0
05:13:00 PM,6.1258,0.1332,6.1471,78.0
05:13:01 PM,6.1238,0.1366,6.1471,80.0
05:13:02 PM,6.1182,0.1383,6.1470,81.0
05:13:03 PM,6.1244,0.1383,6.1455,81.0
05:13:04 PM,6.1244,0.1417,6.1455,83.0
05:13:05 PM,6.0410,0.1434,6.1449,84.0
05:13:06 PM,6.1749,0.1434,6.1451,84.0
05:13:07 PM,6.1186,0.1468,6.1451,86.0
05:13:08 PM,6.1091,0.1468,6.1451,86.0
05:13:09 PM,6.0870,0.1502,6.1451,88.0
05:13:10 PM,6.1795,0.1502,6.1440,88.0
05:13:11 PM,6.1351,0.1536,6.1440,90.0
05:13:12 PM,6.1622,0.1553,6.1435,91.0
05:13:13 PM,6.1257,0.1553,6.1432,91.0
05:13:14 PM,6.1440,0.1587,6.1432,93.0
05:13:15 PM,6.1298,0.1587,6.1427,93.0
05:13:16 PM,6.1519,0.1621,6.1427,95.0
05:13:17 PM,6.1176,0.1638,6.1422,96.0
05:13:18 PM,6.1227,0.1638,6.1420,96.0
05:13:19 PM,6.1227,0.1672,6.1420,98.0
05:13:20 PM,6.1424,0.1689,6.1416,99.0
