SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
07:44:34 PM,6.3822,0.0000,3.2749,0.0
07:44:35 PM,6.4129,0.0018,0.0000,1.0
07:44:36 PM,6.3846,0.0053,6.4298,3.0
07:44:37 PM,6.3917,0.0053,6.3271,3.0
07:44:38 PM,6.4048,0.0071,6.3271,4.0
07:44:39 PM,6.3960,0.0089,6.3900,5.0
07:44:40 PM,6.3912,0.0106,6.4080,6.0
07:44:41 PM,6.3823,0.0124,6.3600,7.0
07:44:42 PM,6.3869,0.0142,6.3700,8.0
07:44:43 PM,6.4013,0.0160,6.3838,9.0
07:44:44 PM,6.3841,0.0177,6.3889,10.0
07:44:45 PM,6.3880,0.0195,6.3720,11.0
07:44:46 PM,6.3812,0.0213,6.3818,12.0
07:44:47 PM,6.4197,0.0231,6.3858,13.0
07:44:48 PM,6.3967,0.0248,6.3931,14.0
07:44:49 PM,6.3761,0.0267,6.3771,15.0
07:44:50 PM,6.4005,0.0284,6.4013,16.0
07:44:51 PM,6.4225,0.0302,6.3900,17.0
07:44:52 PM,6.3797,0.0320,6.3924,18.0
07:44:53 PM,6.4092,0.0337,6.3972,19.0
07:44:54 PM,6.5114,0.0355,6.3853,20.0
07:44:55 PM,6.5743,0.0373,6.3875,21.0
07:44:56 PM,6.5513,0.0391,6.3919,22.0
07:44:57 PM,6.5452,0.0410,6.3959,23.0
07:44:58 PM,6.5641,0.0428,6.4130,24.0
07:44:59 PM,6.5375,0.0446,6.4179,25.0
07:45:00 PM,6.5544,0.0464,6.4224,26.0
07:45:01 PM,6.6104,0.0482,6.4227,27.0
07:45:02 PM,6.5822,0.0500,6.4267,28.0
07:45:03 PM,6.5843,0.0519,6.4268,29.0
07:45:04 PM,6.5696,0.0537,6.4410,30.0
07:45:05 PM,6.6010,0.0555,6.4407,31.0
07:45:06 PM,6.5852,0.0574,6.4452,32.0
07:45:07 PM,6.5852,0.0592,6.6584,33.0
07:45:08 PM,6.6182,0.0629,6.4567,35.0
07:45:09 PM,6.5820,0.0629,6.4683,35.0
07:45:10 PM,6.5931,0.0647,6.4683,36.0
07:45:11 PM,6.5714,0.0665,6.4686,37.0
07:45:12 PM,6.5567,0.0684,6.4689,38.0
07:45:13 PM,6.5500,0.0702,6.4773,39.0
07:45:14 PM,6.5675,0.0720,6.4800,40.0
07:45:15 PM,6.5527,0.0738,6.4787,41.0
07:45:16 PM,6.5392,0.0756,6.4800,42.0
07:45:17 PM,6.5577,0.0775,6.4788,43.0
07:45:18 PM,6.5133,0.0793,6.4884,44.0
07:45:19 PM,6.4959,0.0811,6.4859,45.0
07:45:20 PM,6.4880,0.0829,6.4869,46.0
07:45:21 PM,6.4758,0.0847,6.4878,47.0
07:45:22 PM,6.4873,0.0865,6.4866,48.0
07:45:23 PM,6.4300,0.0883,6.4864,49.0
07:45:24 PM,6.2342,0.0901,6.4853,50.0
07:45:25 PM,6.2762,0.0919,6.4872,51.0
07:45:26 PM,6.3172,0.0936,6.4861,52.0
07:45:27 PM,6.2859,0.0954,6.4790,53.0
07:45:28 PM,6.3171,0.0972,6.4800,54.0
07:45:29 PM,6.2951,0.0989,6.4781,55.0
07:45:30 PM,6.2972,0.1006,6.4735,56.0
07:45:31 PM,6.3164,0.1024,6.4671,57.0
07:45:32 PM,6.2852,0.1041,6.4674,58.0
07:45:33 PM,6.2938,0.1059,6.4605,59.0
07:45:34 PM,6.2898,0.1076,6.4617,60.0
07:45:35 PM,6.2638,0.1094,6.4552,61.0
07:45:36 PM,6.2969,0.1111,6.4556,62.0
07:45:37 PM,6.2975,0.1129,6.4493,63.0
07:45:38 PM,6.2836,0.1146,6.4506,64.0
07:45:39 PM,6.3075,0.1164,6.4455,65.0
07:45:40 PM,6.2783,0.1181,6.4460,66.0
